# Col. 1: ID in CANDELS multi-wavelength catalog (Guo et al. 2013)
# Col. 2: RA
# Col. 3: DEC
# Col. 4: Number of blobs with UV Luminosity L_blob/L_galaxy>0.01
# Col. 5: Number of blobs with UV Luminosity L_blob/L_galaxy>0.05
# Col. 6: Number of blobs with UV Luminosity L_blob/L_galaxy>0.08
# Col. 7: Number of blobs with UV Luminosity L_blob/L_galaxy>0.10
3389 53.1308799 -27.8810800  1 1 1 1 
3404 53.1025506 -27.8814859  10 1 0 0 
3416 53.1526194 -27.8805872  1 1 0 0 
3428 53.1953428 -27.8803888  2 2 2 2 
3455 53.2505250 -27.8808781  2 2 1 1 
3462 53.1859089 -27.8803876  5 1 0 0 
3466 53.0698118 -27.8804746  1 1 1 1 
3475 53.2611613 -27.8801408  2 2 1 0 
3511 53.2294934 -27.8800251  2 2 2 2 
3521 53.1395144 -27.8796467  0 0 0 0 
3531 53.2242142 -27.8797404  6 5 2 1 
3561 53.1368714 -27.8792206  3 3 2 2 
3584 53.0688506 -27.8796980  0 0 0 0 
3586 53.1397992 -27.8806182  9 0 0 0 
3610 53.0921036 -27.8791609  5 0 0 0 
3623 53.0966136 -27.8794138  6 4 3 1 
3625 53.2386023 -27.8783321  1 1 1 0 
3628 53.2007637 -27.8824048  0 0 0 0 
3631 53.1198978 -27.8786175  6 4 2 0 
3650 53.2458602 -27.8779069  3 3 3 3 
3653 53.0631781 -27.8783573  5 4 1 0 
3654 53.1744296 -27.8791516  5 1 1 1 
3658 53.0566195 -27.8795834  0 0 0 0 
3666 53.2665176 -27.8778831  6 5 4 0 
3689 53.0782557 -27.8784547  3 1 1 1 
3698 53.0739310 -27.8777613  3 3 0 0 
3721 53.1589580 -27.8778795  2 2 2 2 
3730 53.1405500 -27.8771894  1 1 1 1 
3737 53.1667392 -27.8770510  0 0 0 0 
3752 53.0673688 -27.8781695  3 1 1 1 
3764 53.2172234 -27.8765998  0 0 0 0 
3776 53.0539257 -27.8768993  0 0 0 0 
3777 53.2249551 -27.8766260  0 0 0 0 
3790 53.0840807 -27.8773207  5 3 0 0 
3804 53.2351255 -27.8762003  1 1 1 1 
3811 53.1564462 -27.8764257  2 1 1 1 
3819 53.2269401 -27.8766139  3 1 1 1 
3821 53.1664095 -27.8762515  0 0 0 0 
3847 53.1465789 -27.8767141  1 1 1 1 
3852 53.1988998 -27.8762926  1 0 0 0 
3857 53.0619488 -27.8767617  6 2 0 0 
3866 53.0602949 -27.8760499  2 2 2 1 
3877 53.1667636 -27.8760888  0 0 0 0 
3894 53.1172684 -27.8762584  0 0 0 0 
3921 53.0696849 -27.8757958  5 2 0 0 
3926 53.1302349 -27.8752374  1 1 0 0 
3936 53.1901658 -27.8750166  1 1 1 1 
3943 53.1052461 -27.8751422  0 0 0 0 
3944 53.2114080 -27.8749978  2 2 2 2 
3946 53.1890972 -27.8755557  2 2 1 1 
3972 53.2624803 -27.8747232  0 0 0 0 
3996 53.1352861 -27.8749954  4 2 1 0 
3997 53.1196572 -27.8755559  4 1 0 0 
4003 53.2046756 -27.8746954  1 1 1 1 
4019 53.0941344 -27.8755612  7 2 2 1 
4035 53.1949402 -27.8749422  7 1 1 0 
4043 53.1465405 -27.8742365  3 3 3 3 
4056 53.1130316 -27.8744750  3 2 1 1 
4062 53.0714521 -27.8755678  0 0 0 0 
4103 53.2268191 -27.8738722  3 1 1 0 
4150 53.0555791 -27.8740081  0 0 0 0 
4160 53.2540354 -27.8748923  4 0 0 0 
4161 53.2079424 -27.8743839  1 0 0 0 
4171 53.2517365 -27.8744888  8 2 0 0 
4187 53.1652022 -27.8739519  2 0 0 0 
4204 53.1863168 -27.8728871  3 3 3 3 
4216 53.0733864 -27.8745835  10 0 0 0 
4244 53.0698540 -27.8729159  5 4 3 1 
4259 53.1814831 -27.8724885  2 2 2 2 
4302 53.0645118 -27.8727748  4 1 0 0 
4312 53.1786426 -27.8721193  1 1 1 1 
4331 53.0719360 -27.8721088  3 3 3 2 
4382 53.1740151 -27.8711835  0 0 0 0 
4383 53.2120222 -27.8714504  1 1 1 1 
4401 53.0608829 -27.8711303  1 1 1 1 
4411 53.1521116 -27.8710147  2 2 2 1 
4415 53.2229490 -27.8715657  1 1 0 0 
4418 53.1204864 -27.8707423  3 3 3 2 
4477 53.0781633 -27.8708156  7 5 1 1 
4580 53.2253511 -27.8691779  3 2 2 1 
4589 53.1639687 -27.8689383  7 7 4 1 
4608 53.0813070 -27.8715857  2 1 1 1 
4627 53.0719359 -27.8692530  1 1 1 0 
4634 53.0536557 -27.8691884  2 2 2 2 
4638 53.0781322 -27.8701530  3 2 2 2 
4639 53.1417603 -27.8685025  3 3 2 2 
4655 53.0512915 -27.8701078  0 0 0 0 
4656 53.1064103 -27.8691873  4 4 2 0 
4667 53.1401513 -27.8684052  1 1 1 1 
4686 53.1569112 -27.8680321  0 0 0 0 
4689 53.1224958 -27.8683679  3 3 3 1 
4694 53.2467827 -27.8677531  0 0 0 0 
4701 53.1530965 -27.8685676  4 4 4 3 
4702 53.0493286 -27.8682264  0 0 0 0 
4703 53.0492634 -27.8680319  0 0 0 0 
4731 53.1781078 -27.8680751  5 4 1 0 
4784 53.2124513 -27.8671922  4 3 2 0 
4797 53.1577417 -27.8670323  0 0 0 0 
4820 53.0574308 -27.8674372  1 1 1 1 
4854 53.0827048 -27.8665671  0 0 0 0 
4862 53.0888983 -27.8680917  6 0 0 0 
4875 53.0548106 -27.8662456  1 1 1 1 
4876 53.0682135 -27.8670000  5 1 1 0 
4884 53.2149424 -27.8660245  0 0 0 0 
4890 53.0451714 -27.8667643  0 0 0 0 
4901 53.1780368 -27.8664611  3 1 1 1 
4908 53.1419937 -27.8665652  2 1 0 0 
4931 53.0617450 -27.8659533  1 1 1 1 
4937 53.1640091 -27.8658608  1 1 0 0 
4939 53.2183160 -27.8655242  2 2 1 1 
4986 53.0659200 -27.8649887  2 2 2 2 
4991 53.1683219 -27.8654851  0 0 0 0 
4997 53.2467073 -27.8649942  0 0 0 0 
5022 53.1794540 -27.8653439  3 2 1 1 
5054 53.1796799 -27.8649487  1 1 0 0 
5067 53.2136458 -27.8644705  2 2 2 2 
5068 53.0861976 -27.8644823  0 0 0 0 
5082 53.2113241 -27.8642919  0 0 0 0 
5084 53.0491818 -27.8638141  0 0 0 0 
5105 53.1739062 -27.8650488  4 3 1 1 
5132 53.0641382 -27.8634726  1 0 0 0 
5145 53.1060669 -27.8651923  8 2 0 0 
5153 53.1689802 -27.8636201  1 1 1 1 
5157 53.0893489 -27.8644181  0 0 0 0 
5159 53.0861551 -27.8633544  1 1 1 0 
5163 53.1790673 -27.8646370  0 0 0 0 
5180 53.0473395 -27.8631471  0 0 0 0 
5190 53.0672492 -27.8629350  3 3 2 2 
5205 53.1084612 -27.8632567  5 1 1 1 
5221 53.1965717 -27.8632050  4 2 0 0 
5222 53.1239433 -27.8630950  2 1 1 1 
5257 53.1217808 -27.8625880  0 0 0 0 
5289 53.1363946 -27.8642091  3 0 0 0 
5301 53.1705055 -27.8621023  1 1 1 1 
5309 53.0383844 -27.8621012  0 0 0 0 
5339 53.2278533 -27.8612513  0 0 0 0 
5351 53.1780831 -27.8617475  0 0 0 0 
5355 53.1345295 -27.8613847  3 3 3 3 
5365 53.1192009 -27.8611524  3 3 3 2 
5366 53.0701693 -27.8610788  0 0 0 0 
5377 53.2283619 -27.8607488  0 0 0 0 
5382 53.1508651 -27.8611639  4 4 3 1 
5402 53.1966819 -27.8604626  4 3 3 1 
5418 53.0832956 -27.8604483  0 0 0 0 
5426 53.1073263 -27.8621651  6 1 1 0 
5455 53.1553965 -27.8600734  1 1 1 1 
5471 53.2227572 -27.8598493  0 0 0 0 
5477 53.2292986 -27.8598934  0 0 0 0 
5487 53.1937496 -27.8594829  1 1 1 1 
5492 53.1741481 -27.8597942  2 2 1 1 
5499 53.1309823 -27.8604093  3 0 0 0 
5536 53.2373260 -27.8592696  2 2 1 1 
5537 53.2185240 -27.8590896  1 1 1 1 
5542 53.2344949 -27.8592645  7 5 2 1 
5552 53.0677463 -27.8591878  2 2 2 2 
5556 53.0862731 -27.8617271  13 0 0 0 
5563 53.0773126 -27.8595809  1 1 0 0 
5604 53.1534101 -27.8586339  3 3 1 1 
5624 53.1901061 -27.8591794  1 1 1 0 
5652 53.0854282 -27.8581424  0 0 0 0 
5670 53.1936708 -27.8577915  0 0 0 0 
5672 53.1681260 -27.8578700  2 2 2 2 
5682 53.1255112 -27.8587781  3 1 1 0 
5691 53.0491120 -27.8590544  5 1 0 0 
5693 53.2077873 -27.8580621  3 1 0 0 
5698 53.2363379 -27.8572309  0 0 0 0 
5700 53.2219233 -27.8593993  9 0 0 0 
5727 53.1806188 -27.8569757  0 0 0 0 
5728 53.0891872 -27.8572853  1 1 1 0 
5729 53.2278532 -27.8568876  0 0 0 0 
5761 53.1507072 -27.8573540  2 2 2 2 
5762 53.0618329 -27.8566025  1 1 1 1 
5770 53.0492515 -27.8567456  2 0 0 0 
5792 53.0759618 -27.8571905  4 1 0 0 
5826 53.2055847 -27.8562834  2 1 1 0 
5856 53.0585336 -27.8568078  2 1 1 1 
5865 53.0641580 -27.8571721  9 0 0 0 
5867 53.1075659 -27.8556800  0 0 0 0 
5889 53.0951695 -27.8567968  7 0 0 0 
5893 53.1951482 -27.8558677  1 0 0 0 
5904 53.0831805 -27.8561371  5 2 2 2 
5919 53.0441588 -27.8562357  0 0 0 0 
5939 53.1352872 -27.8555582  2 2 1 1 
5948 53.0559884 -27.8550958  1 1 0 0 
5952 53.0295835 -27.8554336  0 0 0 0 
5953 53.0305324 -27.8556606  0 0 0 0 
5981 53.1031201 -27.8554295  3 1 1 1 
6015 53.1378267 -27.8566322  2 1 0 0 
6016 53.2203502 -27.8555078  5 0 0 0 
6028 53.0316715 -27.8542247  0 0 0 0 
6040 53.1904785 -27.8537648  2 1 1 1 
6047 53.2039949 -27.8543474  3 3 2 2 
6138 53.2205787 -27.8534706  3 2 2 1 
6152 53.0255851 -27.8535117  0 0 0 0 
6159 53.1646920 -27.8533358  4 3 3 0 
6163 53.1642518 -27.8535196  4 2 2 2 
6188 53.0710309 -27.8537075  5 1 0 0 
6195 53.1753538 -27.8526097  1 1 1 1 
6214 53.0720273 -27.8536603  2 2 1 1 
6221 53.2202740 -27.8540907  8 2 0 0 
6311 53.0314591 -27.8514404  0 0 0 0 
6342 53.0955295 -27.8512778  3 3 3 2 
6349 53.2049479 -27.8513197  5 3 1 0 
6377 53.1629707 -27.8513280  1 1 1 0 
6389 53.2062984 -27.8516071  6 1 1 1 
6411 53.0623235 -27.8512594  0 0 0 0 
6413 53.1468944 -27.8513305  0 0 0 0 
6422 53.0619006 -27.8510455  1 1 1 1 
6434 53.1851531 -27.8507192  3 1 0 0 
6463 53.0887672 -27.8504373  1 1 0 0 
6495 53.0722165 -27.8497650  1 1 1 0 
6513 53.2053920 -27.8498427  5 5 4 2 
6517 53.1049939 -27.8500229  4 3 2 2 
6518 53.2325953 -27.8512776  0 0 0 0 
6543 53.0962636 -27.8490298  0 0 0 0 
6546 53.2316603 -27.8494783  1 1 1 1 
6557 53.0284741 -27.8486963  2 2 2 1 
6560 53.0573878 -27.8490553  0 0 0 0 
6588 53.1370532 -27.8500632  2 0 0 0 
6615 53.2346548 -27.8484608  4 3 2 0 
