,ID,RA,DEC
181,3796.0,53.1872488,-27.8764877
182,3852.0,53.1988998,-27.8762926
183,3895.0,53.202787,-27.8754442
184,3926.0,53.1302349,-27.8752374
185,3927.0,53.2468662,-27.8752482
186,3937.0,53.1963297,-27.8750919
187,3964.0,53.1661452,-27.874666
188,3971.0,53.0775917,-27.8748482
189,4061.0,53.1339882,-27.8742957
190,4140.0,53.2107931,-27.8739479
191,4204.0,53.1863168,-27.8728871
192,4235.0,53.2510609,-27.8721696
193,4237.0,53.2411126,-27.8724225
194,4260.0,53.2496144,-27.8719026
195,4291.0,53.2427327,-27.8719853
196,4331.0,53.071936,-27.8721088
197,4339.0,53.2541882,-27.8712962
198,4451.0,53.1873858,-27.8703901
199,4526.0,53.1573424,-27.8700866
200,4689.0,53.1224958,-27.8683679
201,4717.0,53.0617586,-27.867944
202,4773.0,53.1278608,-27.8674939
203,4820.0,53.0574308,-27.8674372
204,4876.0,53.0682135,-27.867
205,4932.0,53.1381316,-27.8654938
206,5001.0,53.0972362,-27.8657923
207,5032.0,53.2294555,-27.8644071
208,5128.0,53.1953321,-27.8633367
209,5158.0,53.1402899,-27.8634506
210,5197.0,53.1117644,-27.8627793
211,5529.0,53.1670541,-27.858942
212,5536.0,53.237326,-27.8592696
213,5552.0,53.0677463,-27.8591878
214,5559.0,53.2222133,-27.8585777
215,5608.0,53.1221543,-27.8582715
216,5641.0,53.1508519,-27.8583122
217,5843.0,53.1708814,-27.8562506
218,5868.0,53.1559794,-27.8559071
219,5904.0,53.0831805,-27.8561371
220,5986.0,53.0600832,-27.8546707
221,6024.0,53.1023365,-27.8543693
222,6118.0,53.0823342,-27.8536062
223,6129.0,53.2141713,-27.8530262
224,6278.0,53.0601149,-27.8529957
225,6300.0,53.2083236,-27.851431
226,6392.0,53.140705,-27.8505867
227,6463.0,53.0887672,-27.8504373
228,6549.0,53.0890355,-27.8490533
229,6588.0,53.1370532,-27.8500632
230,6664.0,53.1930509,-27.8480485
231,6676.0,53.0923032,-27.8479525
232,6730.0,53.0697631,-27.8475815
233,6752.0,53.0763996,-27.8486643
234,6780.0,53.0745639,-27.8472601
235,6839.0,53.0616187,-27.8462506
236,6895.0,53.094982,-27.8457816
237,6950.0,53.1562578,-27.8454768
238,6954.0,53.1103263,-27.8455952
239,7008.0,53.1378945,-27.8449699
240,7025.0,53.0637197,-27.8446244
241,7055.0,53.1227598,-27.8483046
242,7057.0,53.1938355,-27.8442792
243,7071.0,53.1372069,-27.8446494
244,7079.0,53.0896852,-27.8446014
245,7129.0,53.1935775,-27.8435125
246,7172.0,53.1939599,-27.8431947
247,7243.0,53.1018424,-27.8428
248,7259.0,53.1716707,-27.8424495
249,7308.0,53.0751522,-27.841774
250,7371.0,53.0998916,-27.8419381
251,7490.0,53.1190817,-27.8425475
252,7502.0,53.0721502,-27.84028
253,7545.0,53.0419835,-27.8396441
254,7552.0,53.2214517,-27.8400806
255,7578.0,53.0976352,-27.8402654
256,7638.0,53.031338,-27.8390613
257,7666.0,53.0410796,-27.8387053
258,7706.0,53.0841723,-27.8381416
259,7743.0,53.1896044,-27.8383936
260,8017.0,53.1864818,-27.8361155
261,8084.0,53.2110226,-27.8362975
262,8206.0,53.1435897,-27.8347056
263,8211.0,53.1698723,-27.8340916
264,8217.0,53.0705879,-27.8344667
265,8231.0,53.2197633,-27.8338229
266,8282.0,53.1501914,-27.8345311
267,8387.0,53.1014556,-27.8326823
268,8409.0,53.1572379,-27.8334458
269,8464.0,53.0733147,-27.8323651
270,8480.0,53.1814925,-27.8317962
271,8580.0,53.0678305,-27.8320754
272,8622.0,53.1327649,-27.8305947
273,8649.0,53.1463634,-27.8303583
274,8701.0,53.1804835,-27.8297462
275,8725.0,53.1308566,-27.8298509
276,8740.0,53.1676482,-27.8303676
277,8744.0,53.0313419,-27.8294841
278,8749.0,53.0345877,-27.8292781
279,8750.0,53.1628748,-27.8294671
280,8794.0,53.188313,-27.8293422
281,8823.0,53.1643798,-27.8286004
282,8833.0,53.030641,-27.8283215
283,8868.0,53.075513,-27.828314
284,8874.0,53.0787007,-27.8282639
285,8979.0,53.147109,-27.8277928
286,9051.0,53.1562087,-27.8267688
287,9067.0,53.169736,-27.8266286
288,9105.0,53.1551231,-27.8264733
289,9139.0,53.1626769,-27.8258348
290,9246.0,53.1413766,-27.8256965
291,9295.0,53.1716964,-27.8256599
292,9343.0,53.1671486,-27.824497
293,9358.0,53.1247187,-27.8245184
294,9392.0,53.0881543,-27.8238295
295,9407.0,53.1706133,-27.823788
