# no.  UserID Distance DBSource ALPHA_GR_DEC_ORDER DELTA_GR_DEC_ORDER redshift redshift_err FAST_bc03_lmass FAST_ma05_lmass
# start data
   93  10634                      0.00 10634  53.15915770 -27.81375330  1.76690  3.0000  9.940  9.940
   94  1064                       0.00 1064  53.15992300 -27.91609170  2.12350  3.0001  7.030  7.030
   95  10641                      0.00 10641  53.05421110 -27.81313260  0.00000  0.0000  9.480  9.480
   96  10663                      0.00 10663  53.12983180 -27.81338470  1.88200  3.0000  9.830  9.830
   97  10664                      0.00 10664  53.08613470 -27.81359530  0.00000  0.0000  9.800  9.800
   98  10667                      0.00 10667  53.21791640 -27.81265340  0.00000  0.0000  9.830  9.830
   99  10670                      0.00 10670  53.06099390 -27.81279380  9.99990  0.0001  9.520  9.520
  100  10671                      0.00 10671  53.10407610 -27.81274810  0.00000  0.0000 10.290 10.290
  101  10685                      0.00 10685  53.09285640 -27.81251090  0.00000  0.0000  9.610  9.610
  102  10688                      0.00 10688  53.08385830 -27.81238900  0.00000  0.0000  9.620  9.620
  103  10689                      0.00 10689  53.11732570 -27.81260980  9.99990  0.0001  9.190  9.190
  104  10698                      0.00 10698  53.11367810 -27.81272800  2.63650  4.0001  9.870  9.870
  105  10702                      0.00 10702  53.18700390 -27.81263510  2.80380  2.0001  9.820  9.820
  106  10711                      0.00 10711  53.20700560 -27.81223670  0.00000  0.0000  9.370  9.370
  107  10727                      0.00 10727  53.04510190 -27.81255510  0.00000  0.0000  9.640  9.640
  108  1073                       0.00 1073  53.20564400 -27.91598330  0.00000  0.0000  7.530  7.530
  109  10737                      0.00 10737  53.03368100 -27.81196620  0.00000  0.0000  9.610  9.610
  110  10740                      0.00 10740  53.06934490 -27.81212280  0.00000  0.0000  9.860  9.860
  111  10749                      0.00 10749  53.06102820 -27.81201530  0.00000  0.0000  9.050  9.050
  112  10752                      0.00 10752  53.18221050 -27.81171170  0.00000  0.0000  9.110  9.110
  113  10767                      0.00 10767  53.17934650 -27.81250780  0.72800  3.0000 10.600 10.600
  114  10769                      0.00 10769  53.20989780 -27.81197910  2.35140  4.0001  9.600  9.600
  115  10790                      0.00 10790  53.18740460 -27.81224270  1.88000  2.0001  9.870  9.870
  116  10796                      0.00 10796  53.19770990 -27.81140890  0.00000  0.0000 10.100 10.100
  117  10829                      0.00 10829  53.10179630 -27.81226770  0.00000  0.0000 10.280 10.280
  118  10832                      0.00 10832  53.16141110 -27.81108000  0.00000  0.0000 10.520 10.520
  119  1084                       0.00 1084  53.19369230 -27.91558640  9.99990  0.0001  9.500  9.500
  120  10851                      0.00 10851  53.02848290 -27.81100170  0.00000  0.0000  9.010  9.010
  121  10859                      0.00 10859  53.08384730 -27.81082680  0.66650  0.0000  9.350  9.350
  122  1086                       0.00 1086  53.13717980 -27.91583650  0.00000  0.0000 10.470 10.470
  123  10861                      0.00 10861  53.21477920 -27.81116410  0.00000  0.0000  9.550  9.550
  124  1087                       0.00 1087  53.11216110 -27.91575630  0.00000  0.0000  9.490  9.490
  125  10879                      0.00 10879  53.15165860 -27.81087650  9.99990  0.0001  9.900  9.900
  126  1088                       0.00 1088  53.18264100 -27.91565610  0.00000  0.0000  9.890  9.890
  127  109                        0.00 109  53.10509860 -27.94611430  0.00000  0.0000  9.100  9.100
  128  10908                      0.00 10908  53.06234250 -27.81133690  0.00000  0.0000 10.090 10.090
  129  10911                      0.00 10911  53.12080060 -27.81053000  0.00000  0.0000  9.940  9.940
  130  10918                      0.00 10918  53.03580430 -27.81091920  0.00000  0.0000  9.810  9.810
