# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  10316  3490   0.24       0.27       0.49       0.56       2.75        0.05    0.49   -1.62  
  10338  3493   0.3        0.29       0.87       0.99       3.08        0.1     0.58   -1.71  
  10381  3520   0.18       0.19       0.39       0.45       2.8         -0.0    0.55   -1.72  
  10395  3531   0.28       0.32       0.61       0.61       2.22        0.16    0.45   -0.97  
  10404  3529   0.25       0.33       0.57       0.79       2.94        0.11    0.56   -1.42  
  10437  3554   0.2        0.22       0.44       0.5        2.53        -0.01   0.52   -1.34  
  10442  3553   0.22       0.25       0.51       0.55       2.8         0.1     0.51   -1.56  
  10446  3547   0.32       0.37       0.74       0.85       2.72        0.12    0.52   -1.52  
  10469  3565   0.53       0.66       1.15       1.36       2.97        0.22    0.44   -1.12  
  10476  3572   0.35       0.41       0.95       1.11       3.01        0.32    0.53   -0.97  
  10553  3619   0.2        0.22       0.41       0.45       2.66        0.1     0.47   -1.51  
  10576  3638   0.21       0.24       0.55       0.59       2.94        -0.04   0.52   -1.48  
  10578  3628   0.19       0.21       0.42       0.46       2.7         0.04    0.5    -1.67  
  10590  3649   0.19       0.21       0.42       0.46       2.44        -0.07   0.48   -1.62  
  10602  3651   0.26       0.3        0.64       0.69       2.6         0.1     0.49   -1.56  
  10634  3669   0.31       0.38       0.68       0.81       2.68        0.03    0.45   -1.67  
  10663  3685   0.41       0.42       0.81       0.9        2.15        0.26    0.47   -1.03  
  10698  3708   0.23       0.24       0.5        0.54       2.61        0.03    0.47   -1.59  
  10727  3728   0.41       0.48       0.86       1.1        2.49        0.04    0.48   -1.6   
  10737  3737   0.19       0.19       0.39       0.39       2.5         0.1     0.47   -1.45  
  10767  3740   0.17       0.18       0.39       0.4        2.88        0.02    0.48   -1.68  
  10769  3750   0.19       0.2        0.41       0.43       2.3         0.03    0.49   -1.29  
  10790  3759   0.26       0.32       0.66       0.74       3.09        0.08    0.53   -1.67  
  10879  3819   0.21       0.22       0.49       0.52       2.79        0.01    0.51   -1.62  
  10918  3836   0.28       0.34       0.65       0.79       2.72        -0.04   0.53   -1.58  
  10973  3884   0.16       0.16       0.36       0.37       2.76        0.03    0.51   -1.64  
  11006  3859   0.53       0.66       1.14       1.32       3.0         0.13    0.43   -1.27  
  11023  3920   0.18       0.19       0.4        0.44       2.49        0.06    0.49   -1.66  
  11031  3917   0.31       0.41       0.66       0.85       2.67        -0.07   0.47   -1.45  
  11057  3939   0.23       0.3        0.9        0.79       3.42        0.01    0.59   -1.54  
  11061  3932   0.33       0.39       0.71       0.78       2.63        0.14    0.45   -1.48  
  11079  3948   0.17       0.18       0.38       0.39       2.74        0.03    0.5    -1.64  
  11080  3942   0.36       0.41       0.99       1.08       2.84        0.21    0.49   -1.28  
  11104  3958   0.23       0.27       0.46       0.57       2.69        0.04    0.49   -1.62  
  11123  3979   0.34       0.37       0.78       0.84       2.91        0.1     0.51   -1.64  
  11128  3985   0.25       0.31       0.55       0.64       2.51        0.22    0.48   -1.24  
  11142  3975   0.53       0.6        1.4        1.47       3.2         0.05    0.49   -1.49  
  11143  3957   0.23       0.24       0.49       0.53       2.52        0.01    0.47   -1.58  
  11160  4000   0.18       0.2        0.39       0.44       2.62        0.06    0.49   -1.73  
  11161  4007   0.2        0.21       0.4        0.41       2.3         -0.0    0.42   -1.54  
  11203  4038   0.35       0.4        0.71       0.75       2.08        0.31    0.51   -1.15  
  11204  4026   0.2        0.22       0.44       0.49       2.74        0.11    0.51   -1.58  
  11210  4025   0.27       0.32       0.76       0.9        3.26        0.07    0.6    -1.77  
  11350  4103   0.18       0.18       0.38       0.4        2.49        -0.09   0.47   -1.63  
  11382  4137   0.23       0.25       0.44       0.59       2.39        -0.14   0.53   -1.53  
  11398  4146   0.25       0.3        0.55       0.67       2.71        0.0     0.5    -1.51  
  11460  4139   0.36       0.42       0.93       0.95       2.89        -0.04   0.48   -1.2   
  11465  4183   0.2        0.22       0.44       0.46       2.48        -0.02   0.47   -1.51  
  11521  4210   0.27       0.32       0.59       0.65       2.64        0.14    0.47   -1.3   
  11539  4223   0.19       0.2        0.41       0.43       2.59        0.01    0.48   -1.6   
  11571  4239   0.21       0.25       0.47       0.55       2.62        0.03    0.48   -1.66  
  11592  4252   0.21       0.23       0.54       0.56       3.02        0.21    0.55   -1.5   
  11597  4251   0.42       0.47       0.92       1.04       2.2         0.05    0.38   -1.24  
  11629  4260   0.34       0.36       0.69       0.72       2.47        0.12    0.46   -1.56  
  11653  4285   0.16       0.18       0.35       0.39       2.39        -0.04   0.49   -1.39  
  11706  4297   0.18       0.19       0.39       0.43       2.55        0.07    0.49   -1.67  
  11740  4329   0.18       0.2        0.42       0.44       2.66        -0.01   0.49   -1.67  
  11758  4335   0.3        0.36       0.7        0.8        2.98        -0.0    0.47   -1.05  
  11800  4354   0.36       0.35       0.94       0.63       5.86        -0.04   0.44   -1.28  
