#ID RA DEC
12543 53.0565492 -27.797
12550 53.0851425 -27.7969524
12567 53.1629988 -27.7976578
12596 53.1704262 -27.7972979
12616 53.1688136 -27.7969441
12624 53.1668951 -27.7987375
12668 53.1737646 -27.7963384
12670 53.1485141 -27.7969021
12672 53.0262486 -27.796537
12699 53.1993581 -27.7956105
12702 53.137771 -27.7955464
12743 53.1696872 -27.7970172
12751 53.1588038 -27.7971557
12752 53.124235 -27.7953628
12770 53.1405865 -27.7956178
12796 53.1433355 -27.7952658
12799 53.1746137 -27.7953789
12809 53.1526912 -27.7956332
12832 53.1270635 -27.7950472
12839 53.1674766 -27.7951916
12855 53.1807048 -27.7954255
12858 53.1516176 -27.796432
12893 53.1422421 -27.7954037
12938 53.1264602 -27.7942919
12988 53.0581816 -27.7938499
12999 53.1271236 -27.7938564
13012 53.1723848 -27.793924
13047 53.0257728 -27.7937863
13061 53.0947575 -27.793658
13066 53.1650674 -27.793659
13073 53.152572 -27.7938433
13137 53.121595 -27.7928059
13152 53.1741361 -27.7940052
13162 53.0996852 -27.7942891
13183 53.1679399 -27.7927261
13252 53.0391547 -27.7920767
13271 53.15126 -27.7924061
13295 53.043698 -27.7923478
13308 53.2112074 -27.7922827
13340 53.0808716 -27.79122
13373 53.1331413 -27.7910132
13397 53.1740405 -27.7910126
13414 53.1606476 -27.7917475
13506 53.1368873 -27.7906609
13508 53.1540401 -27.7908903
13552 53.1604174 -27.7903692
13586 53.1250836 -27.7907759
13587 53.1902054 -27.7898511
13649 53.149936 -27.7904637
13721 53.1915349 -27.7891755
13751 53.0287588 -27.7894815
13788 53.0293794 -27.788739
13811 53.2011498 -27.7881449
13849 53.1242079 -27.7887464
13854 53.1522822 -27.7879766
13871 53.1738666 -27.7884913
13975 53.1655341 -27.7881268
13994 53.1772202 -27.7873143
14020 53.0858345 -27.7874959
14037 53.1808219 -27.7873277
14040 53.1479843 -27.7876864
14042 53.1492899 -27.7885251
14091 53.1831289 -27.7871529
14096 53.0816285 -27.7864639
14191 53.1737242 -27.7871105
14195 53.0735026 -27.7867491
14196 53.1922316 -27.7860119
14198 53.2126632 -27.7859432
14257 53.1367862 -27.7860909
14258 53.1317111 -27.7855577
14263 53.1616646 -27.7874301
14309 53.1917166 -27.7851032
14329 53.0565042 -27.7854489
14332 53.2055306 -27.7855083
14362 53.2023117 -27.7854286
14378 53.1786763 -27.7849564
14424 53.1921752 -27.7845449
14447 53.0720176 -27.7856684
14456 53.1490505 -27.7850583
14479 53.1458986 -27.7846948
14505 53.0738287 -27.7841516
14524 53.1297986 -27.7840843
14533 53.1669704 -27.7847073
14586 53.1771584 -27.7840872
14587 53.1784856 -27.7840349
14598 53.186026 -27.7839912
14602 53.0610872 -27.7840825
14611 53.0758793 -27.7832983
14670 53.1822427 -27.7833118
14678 53.1842086 -27.7835066
14704 53.0622478 -27.7832656
14716 53.2163161 -27.7827106
14792 53.1298652 -27.7822552
14837 53.200552 -27.7820897
14908 53.2131802 -27.7820278
14932 53.0215553 -27.7814989
14947 53.1614335 -27.7817072
14949 53.0889221 -27.7819574
14969 53.1468878 -27.781772
15011 53.1817296 -27.7829921
15012 53.1743179 -27.7825209
15015 53.1490227 -27.7819584
15079 53.1301532 -27.7808609
15086 53.153464 -27.7809793
15139 53.1979638 -27.7800636
15163 53.190398 -27.7799557
15194 53.1173514 -27.7801034
15218 53.1428326 -27.7799186
15220 53.1332331 -27.7797913
15237 53.1305172 -27.7796859
15267 53.1528663 -27.7801208
15271 53.1453835 -27.7797453
15290 53.2216788 -27.7790585
15293 53.1545185 -27.7797185
15297 53.1820312 -27.7795452
15298 53.1449278 -27.7794791
15397 53.0384681 -27.7787308
15430 53.0403404 -27.7784914
15432 53.1461483 -27.779882
15451 53.1464198 -27.7783141
15482 53.1801971 -27.7790004
15485 53.1885272 -27.7788307
15517 53.1556467 -27.779298
15518 53.144492 -27.7790288
15547 53.1453477 -27.7788371
15555 53.1999385 -27.7776111
15558 53.1135923 -27.7774542
15565 53.1492089 -27.778801
15591 53.1582871 -27.7774498
15614 53.148896 -27.7775046
15622 53.2050479 -27.7768663
