#ID RA DEC Imag Zmag Jmag Hmag z
1166 53.1202575 -27.9140185 25.9151998102 25.717635803 25.1750792058 24.8477530376 2.201
1177 53.1065232 -27.9138763 24.4330345183 24.5052199593 24.3187772162 24.258176264 2.7994
1180 53.1724546 -27.9136475 25.1671847408 25.1349625227 24.9554895109 24.5071497898 3.116
1185 53.1703597 -27.9136667 25.0865877495 25.1139925907 24.7366738188 24.3346590565 2.608
1191 53.1138485 -27.9140182 25.3127956529 25.3303316778 23.7879844671 23.3582857789 1.642
1194 53.1672023 -27.9144033 23.7963702423 23.6963616804 23.0328174155 22.7700889656 2.1214
1202 53.2131128 -27.9132934 25.5141333518 25.6303457045 24.9227923593 24.541441189 2.117
1217 53.105744 -27.9131792 24.9086144655 24.7674658553 24.5970341701 24.2597917216 2.568
1223 53.108501 -27.9129168 25.8433388582 25.9294370682 24.7627449834 24.5980807087 1.503
1225 53.1563384 -27.9130623 23.726662413 23.6186047888 23.4009891141 23.2564275905 2.4031
1231 53.1055377 -27.9130812 25.2202898495 24.9988793551 24.2661955454 23.7807130462 2.208
1239 53.1759072 -27.9126857 26.0575964429 25.8414094222 24.3470336546 23.8601867218 1.963
1241 53.2039752 -27.9125335 25.8642285134 25.9865033456 25.4345019358 24.9453021335 1.821
1244 53.1953882 -27.9136237 23.4229526117 23.365608119 22.6267516995 22.4940626095 1.552
1251 53.1068165 -27.9125699 25.272972841 24.9247771658 24.5872841445 24.1062309747 2.034
1260 53.204542 -27.9120205 25.9798101286 25.9137557718 25.5744984184 24.9044906042 2.267
1266 53.1637334 -27.9120514 25.0934200102 24.976840353 23.9499438224 23.7263477793 1.553
1270 53.1161026 -27.9122242 24.8298301388 24.6595372903 23.660220684 22.8810936285 2.5748
1278 53.115914 -27.9121276 24.3603602503 24.3057638151 23.2996694368 22.7715318658 2.704
1280 53.2025002 -27.9112634 25.2568890928 25.3247075031 25.2317753709 24.7343346773 3.035
1281 53.0850309 -27.9111925 25.5041300197 25.4358458153 25.1165664037 24.3902242663 2.295
1289 53.1635124 -27.9111888 25.4944773258 25.4188511977 24.7061126406 24.4604497952 1.882
1308 53.1723797 -27.9111932 23.7124380893 23.6671640114 23.5838029156 23.4271729343 2.2002
1314 53.2153861 -27.9110418 24.3126423279 24.2469288873 23.621801699 23.5420647088 1.592
1324 53.1246712 -27.9105863 24.8388744736 24.8607139045 24.2381469503 23.8775313554 2.204
1325 53.1737915 -27.9101761 25.7929820229 25.8176049682 25.5230139495 24.9128340775 2.051
1339 53.1830987 -27.910283 24.591301301 24.5177575232 23.6264839631 23.5083167394 1.758
1341 53.2092354 -27.9102554 23.9713975057 23.9854640934 23.8231971766 23.7806449545 2.371
1354 53.2024509 -27.9097746 24.8590396772 24.7671231424 24.1969978601 23.7144496099 2.625
1356 53.1232578 -27.909796 25.4882801952 25.2955108803 24.4661811353 23.7579283684 2.521
1364 53.220853 -27.9097545 24.0298103362 23.8521261585 22.790837468 22.5744270935 1.606
1381 53.1114877 -27.9093382 25.4510428252 25.3310291468 24.4282395274 23.7644060598 2.772
1382 53.0985151 -27.9092596 25.3513456851 25.4202903287 24.5163085535 24.4399821489 1.506
1388 53.0855472 -27.9089711 25.9190483755 25.9651123107 25.3741621892 24.878489715 2.203
1391 53.1183661 -27.9090414 24.8362558611 24.8413262902 24.8792573515 24.8033800748 2.5544
1392 53.1676653 -27.9094734 24.7210058267 24.7921236516 24.1424324757 23.8542371815 2.212
1397 53.1291394 -27.9088111 25.9222811175 25.8969647971 25.342491858 24.9136761048 2.247
1406 53.0944849 -27.9086723 25.0270472135 24.9792081545 25.0288268327 24.7277312442 2.689
1421 53.1108403 -27.908371 25.1005874751 25.1411190791 24.6658430823 24.266849883 2.684
1424 53.1937574 -27.9082656 27.2245036912 26.8721990818 25.5573756669 24.1653779148 3.001
1430 53.2453455 -27.9078836 25.3771038096 25.2433724674 24.6993947089 24.6282361989 1.817
1432 53.0884601 -27.9079113 25.8045207991 25.755971535 24.7914546776 24.5886160865 1.754
1434 53.1172736 -27.9081707 25.6913568119 25.7429115573 24.6471965668 23.954926669 2.6909
1438 53.0978586 -27.908025 24.6611951202 24.651912892 24.1027012005 23.7402505328 2.307
1439 53.2187981 -27.9079141 25.4713513132 25.4258402297 24.7808825304 24.6529442022 2.7752
1441 53.1183143 -27.9080792 25.153772181 25.1895565868 25.0663165941 24.6993198951 3.1317
1442 53.2427138 -27.9081031 25.0914142831 25.1076077394 23.9472743805 23.1169512191 2.514
1455 53.1886109 -27.9080574 24.5530743606 24.5524900292 24.2088823619 23.7965676399 2.703
1457 53.1107026 -27.9077066 24.921943235 24.9484772152 24.4294482258 23.8507556725 2.5574
1458 53.2444451 -27.9075671 24.9379398754 24.8128902557 24.2987969172 24.1646004462 2.505
1470 53.0926003 -27.9078116 24.4612087083 24.3800772361 24.349417511 23.8526977053 3.061
1480 53.081681 -27.9072824 24.5767153743 24.6151968405 24.1978445951 23.6908045864 2.6741
1481 53.1111982 -27.9071571 25.4865468247 25.5435978914 24.7852609789 24.3327779309 1.985
1482 53.1484221 -27.9082326 23.2457487194 23.1728330796 21.9949324787 21.6612765052 2.0959
1483 53.1485934 -27.9076348 24.716966058 24.6854419572 23.8185538202 23.6587329985 1.585
1492 53.2478382 -27.906653 25.4284328248 25.7194558065 25.0678784638 24.6954502225 1.964
1493 53.2115607 -27.9070676 24.6791306744 24.7098855016 23.6388334369 23.4999397378 1.513
1501 53.2480078 -27.9064882 26.2791480173 26.2751630193 24.7930475627 24.6799565519 1.64
1506 53.2112307 -27.9082988 24.2189726368 23.8619150594 21.7459713352 21.2217128849 1.613
1510 53.1987784 -27.906545 26.7999999544 27.0309539559 25.4017764138 24.4013987635 2.533
1513 53.2111778 -27.9072507 25.1325711329 24.7181164381 23.3571788327 22.8165876411 2.063
1523 53.0964214 -27.9065039 26.0574142824 25.5767138237 23.1571367979 22.6253579192 1.724
1526 53.2199778 -27.906148 25.3040990855 25.4517362056 25.3115160016 24.6376642856 3.052
1528 53.1103707 -27.9071615 24.8775836931 24.8653611038 23.2690508525 22.8636152894 1.629
1535 53.1081089 -27.9060166 25.0114899248 25.0313108987 24.2634774222 24.4458179626 1.632
1542 53.1623916 -27.9063386 25.0126056822 24.9390927737 24.1493813092 23.8688455042 2.241
1544 53.092914 -27.9058854 25.2493494768 25.2073054423 24.7284296016 24.4879630734 2.391
1554 53.1311041 -27.9057963 24.6224675824 24.9384540072 24.3628184756 24.0143141087 2.3399
1556 53.1619967 -27.9066958 22.958069592 22.9241903996 22.6481158961 22.5435152314 2.6709
1557 53.1499999 -27.9056339 27.5364847758 28.4260005352 26.002120128 24.774571297 2.815
1558 53.1883601 -27.9058495 25.3703238824 25.2942318218 24.9002404894 24.1473995674 3.011
1560 53.2043544 -27.9059092 24.9435661758 24.8692141172 24.7115693484 24.356018823 2.1965
1563 53.1959579 -27.9060816 25.6107457171 25.5738539546 24.48572619 24.0980981792 1.579
1574 53.236034 -27.9054079 24.9091588982 25.1062943673 24.7854278461 24.5858660219 2.691
1582 53.1087839 -27.9052121 24.8094349071 24.9594807486 24.8398442149 24.6267720844 2.373
1589 53.150827 -27.9054807 22.8161074163 22.5667680648 22.0914388151 22.0370435732 3.2513
1604 53.2439991 -27.9049453 24.2317246916 24.2570337483 24.0770059134 23.7001756034 3.016
1605 53.1283096 -27.904767 24.6633839175 24.6711315525 24.7490815855 24.4095185079 2.2142
1607 53.1495845 -27.9055592 26.131178031 26.2318949762 24.5919110109 23.1555659045 2.641
1611 53.2551271 -27.904403 24.829170746 24.6228626141 24.687547917 24.3440959065 3.456
1614 53.2559615 -27.9044538 24.9404733402 24.8343287691 24.1562181741 24.0173872431 1.71
1617 53.1230639 -27.9046237 25.6652904071 25.6430961359 24.6237376879 24.0032702321 2.43
1619 53.212742 -27.9050803 25.4667405116 25.4407981257 24.1649967332 23.8990558202 1.652
1623 53.1837407 -27.9044862 25.5358355593 25.4300180197 25.4160312846 24.8419439883 3.071
1625 53.1609644 -27.9047266 25.318354294 25.1316626362 25.0459083828 24.6017733161 2.1565
1626 53.2256727 -27.904315 26.0994044743 26.1780567316 25.2450050918 24.786446783 3.3869
1630 53.234713 -27.9042579 24.5217425647 24.6787101857 24.5099662425 23.9444870523 2.9
1633 53.1547393 -27.9042837 25.4487437919 25.4551051693 24.9367628092 24.7425461747 1.982
1639 53.1361124 -27.9043532 25.0282373943 25.0101941831 24.5519752859 24.2370786221 2.283
1641 53.124206 -27.9041887 24.9737535645 25.0192483143 24.943852943 24.7522284218 2.6885
1643 53.1843529 -27.9041863 25.3667757423 25.4373971387 25.102623383 24.8139453845 1.818
1646 53.1785248 -27.904294 24.7171619284 24.9070980931 24.2730904302 23.8326561344 2.136
1647 53.1553719 -27.9042681 24.9036392492 24.9095027463 24.4577442318 23.9175277015 2.575
1661 53.2128673 -27.9041911 24.7508107412 24.7285856295 23.7549319201 23.5140085461 1.806
1664 53.0953045 -27.9039911 25.0201679472 24.8628281149 23.7551219251 23.2058566519 2.172
