#ID ICD_VJ ICD_VJ_ERR ston_V PR alpha_VJ
8353 0.187558662802 0.00730288634176 7.25689134562 10 8.06666980021
423 0.0445661882628 0.013081846191 30.0297070825 20 1.36565230693
3804 0.0693054100105 0.00377465888172 33.6292071275 8 2.37578073387
21908 0.180716874049 0.00241715750844 17.2705020721 11 1.73046295671
1926 0.0307563898545 0.000436067791793 115.839160082 15 1.96184718072
5559 0.0203719363173 0.00331293891622 50.338415951 8 0.927250562963
10253 0.0173725934648 0.00342350305721 18.5692235112 10 1.43013695115
7909 0.0121835886555 0.000759489838613 38.2837414872 9 1.71480506591
309 0.0408289751012 0.00787141434877 27.2604903866 11 1.67393120751
20183 0.0320911330045 0.00119415553457 31.945863943 17 2.1266535888
4557 0.0115436453639 0.00290075737293 25.7938114737 6 2.35459022752
19314 0.0358879109999 0.000506030534816 39.0241814527 13 2.26864041414
9764 0.0794772915904 0.00834502766688 15.051983201 10 1.69330194834
10073 0.106943233994 0.00131025262167 27.0657250654 12 1.58942900473
8692 0.533075441432 0.0134961199 15.2156511189 20 0.931126074728
9667 0.170398455148 0.0255313204468 4.54874111353 10 3.65096149513
5377 0.821374444114 0.0528392939976 2.34574111411 12 1.44530816988
7462 0.0555262536116 0.00313964559835 25.9594273904 10 2.61810523219
895 0.0370923407923 0.00317624049554 44.5991935446 7 2.3066917293
1563 0.0918263419718 0.0126091677992 20.5861372198 13 3.07727706387
2780 0.0352561374697 0.00222458734024 25.7282342904 8 2.64995805438
1633 0.0512350297664 0.00452507813279 37.8817742043 7 1.33867491662
12102 0.1396956113 0.00272024775888 29.726653957 16 2.03072456415
6178 0.0343014286943 0.00268142603892 44.9652779358 10 1.18361909457
9985 0.152387259555 0.0165968705443 6.80516421427 7 3.00349973013
3037 0.01908574831 0.0213885085226 19.6179651056 16 1.05949236924
1556 0.00355074682208 0.000470706686433 147.626564745 18 1.90201663591
22908 0.00817168098152 0.00738524406519 11.5786369553 9 4.10195425553
19149 0.0243511090209 0.000517587555184 84.7522453134 10 1.0235155718
9797 0.0723656317006 0.00409416218637 32.0717371912 5 1.22394079064
26571 0.0260476866147 0.00117173800083 29.5243785348 7 1.96201989624
21007 0.11969872204 0.000779727285912 30.9930502525 14 7.56360221583
12158 0.0308839826564 0.00668303744878 14.5322001556 7 1.57417294472
5088 0.0104054555451 0.00183712298006 26.4897503172 11 2.86005523258
12517 0.0212217406113 0.00461884117693 24.0894778052 12 1.0462260568
19939 0.052136335159 0.0112229551528 9.6968369286 8 4.13314722593
14362 0.00319329552821 0.0010931996925 23.6633070428 7 44.0589564521
6332 0.0321102483009 0.00217617809751 32.6975040653 8 1.07399228962
13224 0.0364334365035 0.0040082912747 26.4704406216 9 1.21474086949
3996 0.251748723515 0.00315677237294 33.9743185958 20 2.26131247824
26358 0.673750958481 0.0283080455284 1.26798829469 11 2.74173754284
11288 0.00447326457232 0.0028603339624 86.3929667777 9 1.65834733901
1088 0.0627033242918 0.00682493690957 40.4682697945 5 1.74825241823
22917 0.0659111469649 0.000222729254298 110.799513021 15 1.18109666185
5674 0.0168728497381 0.00180048463921 26.0911951645 6 1.59370518226
7037 0.0177530957644 0.000649509200391 50.4906992196 8 2.37133607085
18705 0.00782831389024 0.00157273288845 63.1780758591 6 1.71710886544
13168 0.109653269426 0.019194599537 4.73765250373 7 13.1147643391
4484 0.00775124016506 0.00751055624166 14.4181381116 7 2.69133024606
14447 0.23634370969 0.00324637425513 35.748705076 27 2.06780153049
5698 0.0199412914078 0.00425393122664 27.6160775738 9 3.00729661797
22858 0.0940293757549 0.000862345768056 48.0422833749 11 1.95338335551
886 0.081207843442 0.0083136800842 41.7411637888 8 1.0075180916
19777 0.104635436596 0.00656623964206 18.1189418605 11 1.83591560611
20690 0.0826183055595 0.00301056516291 34.7093162014 19 1.7080148431
22758 0.108319390195 0.0114004987291 5.54394865462 8 4.82762960662
17673 0.10922693808 0.000881315566821 41.4377446186 11 5.24243953795
21151 0.158311936634 0.0228941577439 9.04034720023 23 2.18586460617
26801 0.0233798312745 0.00120835162685 34.1306187883 12 2.64437727067
9456 0.705636151291 0.0303632080691 3.7055839401 32 0.596014721775
26197 0.0452891786111 0.00103927708564 43.8568998661 12 1.88693589074
20214 0.0786606976058 0.018632137573 4.37000229605 7 21.5864870536
18502 0.0400979629082 0.00308092818701 15.4881830447 8 1.5018187571
9171 0.0344438640677 0.00813763379028 9.14036818199 6 3.25838698457
16427 0.0248400993573 0.00253209133672 20.9039027679 8 2.31341289795
12529 0.0378183526485 0.000446775753784 43.353280768 8 30.4724301846
24106 0.0177605200398 0.00235995811907 19.2524786181 7 2.6632744713
