#ID ICD_IH ICD_IH_ERR ston_I PR alpha_IH
8277 0.135578702691 0.0112327374599 18.3250092852 8 1.91006613169
15365 0.0239287902669 0.0018798146275 24.2658242559 10 2.24294365897
745 0.142091509281 0.0168410717901 50.0739015074 8 1.3102072645
2189 0.0686649580683 0.00533712439703 15.5628615102 8 2.12084617635
7025 0.0283669910309 0.000794062817506 55.178389939 13 1.85183730407
19246 0.0139328296138 0.00223242981246 37.7706368766 8 1.2841984507
7575 0.1366594627 0.0162616336123 5.62670784601 12 7.78472690309
25424 0.0738413451849 0.00309736139823 26.8421626472 9 0.89012419019
12596 0.0395110287782 0.00122417478464 33.5451490073 14 2.5944242541
25977 0.0077575569725 0.0102527484978 9.71466013017 10 1.79126723571
8014 0.0918970583353 0.00604201138751 13.7298014975 9 5.34777499491
1528 0.17072872572 0.0153139448084 10.98208447 18 4.24872377074
13649 0.284164295729 0.000324995295756 82.4725479001 14 2.73595429151
21049 0.00563382586493 0.00947667912913 14.6016664766 8 1.56512250063
282 0.214491425369 0.00214502509321 23.8445563851 23 4.39575344084
12266 0.0270077432347 0.00236956418211 44.8904933954 8 4.85120873239
3304 0.0171720673451 0.00254152060519 32.2646841176 12 1.49203441437
4470 0.471330511483 0.0107009444963 2.52289663496 12 1.1008789332
16031 0.00483770890988 0.00408626763393 26.5995154409 8 0.958178701678
20790 0.085073510999 0.000398616261294 46.7316603887 6 1.64129441301
7692 0.212632316892 0.0196680767947 8.36248586574 10 1.20199215537
15614 0.0450465887762 6.43383462204e-05 90.8232754584 6 5.03072328788
3312 0.680545707437 0.0377259225738 1.46809526748 7 1.90533160253
9404 0.0120206839256 0.000984681355596 28.6868011449 8 2.06529287346
10381 0.0487852007758 0.00152451423078 32.0838738962 6 1.99777617032
4260 0.0283961826633 0.00789392618545 37.3234766613 8 2.40407478715
11800 0.0242296323035 0.000450317780023 66.2834662552 13 3.4634257511
20824 0.0268154693065 0.00558622600911 23.9344747845 8 1.53112711895
11398 0.0683052257286 0.000300679180724 72.4936646727 9 1.0975269293
11079 0.0233782875782 0.000226428901769 63.6209764661 6 13.1678508336
149 0.0686953845072 0.0115768520772 11.6736238814 7 2.20297854413
544 0.814213949968 0.0534398550916 1.92718476432 8 1.29206102727
18509 0.0364027972126 0.000175954514108 77.3857328506 9 1.89284880842
3649 0.458467896591 0.0285696516168 6.39649111829 13 1.69892180307
15402 0.366466565416 0.00782814729519 12.5580495202 15 6.11158132859
21706 0.0405196322928 0.000912411356452 23.4118631632 7 12.0766819899
21139 0.106558546999 0.00346606656114 17.6390312668 39 1.6710507766
