#ID ICD_JH ICD_JH_ERR ston_J PR alpha_JH
2273 0.416861140766 0.0279817251309 7.70722008487 10 0.88538136622
10080 0.319163715906 0.0192828575158 15.1420986955 13 0.998684174551
16303 0.0187094369417 0.00111720166612 60.2729402641 11 1.71986523455
22321 0.0480269917858 0.00913413086348 24.4692050246 21 1.18645475806
3304 0.00162498885267 0.00284262068397 40.9675080541 12 1.19616755211
15669 0.0116760904951 0.000660408687692 63.0647564324 8 2.69716791185
9550 0.0741403260007 0.0145992480019 13.494558416 9 1.42089167186
6780 0.00725184083815 0.000265774986975 124.027742094 8 1.22518812152
23341 0.00585725959046 0.0027482229546 43.6092486397 13 1.28029086641
24624 0.00914160320837 3.84568514822e-05 240.035407771 5 1.02589817083
2827 0.205866845761 0.00997106270617 13.884655236 18 1.477709649
21899 0.0058500009768 0.00498411047876 33.1885379423 16 1.39453915298
287 0.0102825292765 0.00180329713619 40.3923693837 11 1.53715146535
9095 0.00142451376152 0.00318085703807 43.6223241443 8 0.805978162472
5186 0.0230402221017 0.00144251673823 43.6856533573 6 1.22738177228
4654 0.0122521964664 0.0026742632123 35.7293661349 7 1.4129267185
16063 0.0330032391654 0.00461485453725 31.2602020846 13 1.28530775149
13224 0.00220219938938 0.00363908220653 26.570277355 6 1.37087982113
10670 0.00834372968601 0.00209768129722 32.9752051229 11 1.21974399175
15737 0.163817587593 0.0181181057304 30.1365891453 13 0.450087894831
16226 0.000716357693513 0.0161492070769 17.757543389 13 1.10458689612
24337 0.00212963555808 1.7060063654e-05 356.72376242 8 1.59303949609
22805 0.0117164599697 0.0073395245589 32.0394478008 11 0.892215486468
13278 0.00923851617253 0.0089078534888 20.483357275 13 1.45049414593
21097 0.0074974005822 0.0032418582077 31.5556546686 10 1.35222320538
3690 0.0196241354893 0.00274616814045 34.0277281931 8 1.46599064488
13066 0.00125364569758 0.000113293475914 158.226595297 7 1.59113796245
8539 0.0264466748141 0.0122006166309 19.1870735108 12 1.27318868322
13800 0.114146529986 0.010667984053 16.9590366729 11 1.02562274179
7821 0.0268276567411 0.005409459534 22.154880649 8 1.30032079627
10740 0.00357024036587 0.00299655450175 33.545092448 8 1.32120736147
17838 0.0403601435915 0.00558828765855 26.5863305653 8 0.7571870277
21852 0.0119619612763 0.000281653115534 197.162841319 27 1.64072725691
4574 0.0304890194583 0.0145034424854 18.6427588944 11 1.22444241332
2782 -0.0315112584041 0.0146037043888 9.00374919212 7 1.95210824483
8750 0.0147466960847 0.00236439307725 37.9895186249 9 1.26928978079
16702 0.025247389249 0.00376705905333 23.772748895 6 1.44962172636
19613 0.0179887560487 0.00148536637768 40.0710956396 7 1.2095009608
866 0.00131972536433 0.00272615292891 32.006471162 10 1.4931398759
17866 -0.00127966712498 0.00532671867871 21.9042183205 8 1.53101120065
5039 0.0261349872275 0.00101794431246 29.6974261322 7 1.74497956748
4878 0.00652388636187 0.00224846152728 34.576785631 8 1.48935836371
25879 0.00568845109167 0.000705963776395 45.834891902 6 1.8269169194
7706 0.000284896111655 0.000739112883464 64.8466542652 7 1.41863373154
26788 0.00534851888963 0.00110787457401 55.9769728334 12 1.74545842065
26480 -0.0299923241254 0.0250197175223 15.0808163964 16 1.28897979975
22711 0.0272809757922 1.4654373615e-05 451.096579477 29 1.53899969425
22735 -0.0500775862287 0.0113156011156 17.2436753284 12 1.31040645022
2462 0.00430096768306 0.00017000479536 125.570834352 6 1.60858292913
16844 0.0230992937559 0.000750188954954 64.2840089938 11 1.52391464247
21622 0.00549955703965 0.00174553196183 39.3310440714 9 1.5820763024
2825 0.0788193770412 0.00507194278703 21.9888389433 10 1.30678618413
3541 0.235621865798 0.0501578030706 9.19158679462 17 0.747733974361
1119 0.0113339810673 0.000198834126719 89.1147523617 11 2.00017426209
17885 0.0125871128013 0.00863751245689 24.510268388 11 1.26364768104
13871 0.00106912329713 0.000279466945025 105.702590724 19 1.13317534633
10077 0.038842270836 0.00650940787962 24.4024478121 10 1.22207274721
15710 0.0057539021365 0.000752499669647 46.4416906531 5 1.79236804608
24756 0.616835754406 0.0163922964071 7.94586420479 10 0.715716406992
9867 0.00685259605419 0.00140693463584 38.658992944 6 1.5070423692
23037 0.00470882132915 0.00193125815062 37.9913698825 7 1.21927471965
2163 0.116493814157 0.0204385040688 16.0664925703 20 1.1168242707
9886 0.00907315775992 0.00592332574824 26.8388703058 12 1.14997000773
13506 0.00313659082468 0.000236036330931 113.637128905 10 1.01600588646
15060 0.0306531167809 0.00425888206061 20.1456311531 13 2.41636009047
17374 0.0480784752529 0.000583124170238 23.0005599458 6 2.42034646664
5386 0.00265004984707 8.08274726707e-05 161.280949616 7 1.54553519765
4572 0.0018039855507 0.00698365663487 31.7377998024 11 0.906238073217
13131 0.139014207935 0.0226518778962 7.90821108165 7 1.15561642852
